"DocType:","Generic Drug Name","","","","","","","","","","","","~","Generic Drug Formula Link","preparation","~","Generic Drug Route","route","~","Generic Drug UOM","drug_uom","","~","Generic Name Formulation","generic_name_formulation","","","","","","","","","","","~","Age Weight Band Details","ageweight_band","","","","","","","","","","","","","","","","","~","GCH Standard Guideline Detail","gch_standard_treatment_guideline_detail","","","","","","","~","GCH Standard Guideline Detail","diagnosis","","","","","",""
"Column Labels:","ID","Code","Generic Name","Main Category","Classification","Sub Classification","Is Triage Medication","Is Controlled Drug","Is High Alert","Emergency Medication","Kranium Code","Kranium Name","","ID","Generic Drug Formula","","ID","Drug Route","","ID","Preparation","UOM","","ID","Route","Preparation","Min Dose","Max Dose","UOM","Absolute Max","Frequency","Period Type","Min Duration","Max Duration","Label","","ID","Route","Preparation","A. Operation","Age","Type","W/A. Operation","W. Operation","Min Dose","Max Dose","UOM","Weight","Absolute Max","Frequency","Period","Min Duration","Max Duration","Label","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description"
"Column Name:","name","code","generic_name","main_category","classification","sub_classification","is_triage_medication","is_controlled_drug","is_high_alert","emergency_medication","kranium_code","kranium_name","~","name","generic_drug_formula","~","name","drug_route","~","name","preparation","uom","~","name","route","preparation","minimum_dose","maximum_dose","uom","absolute_maximum","frequency","period_type","min_duration","max_duration","label","~","name","route","preparation","a_operation","age","type","wa_operation","w_operation","min_dose","max_dose","uom","weight","absolute_max","frequency","period","min_duration","max_duration","label","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","","Yes","Yes","","Yes","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No"
"Type:","Data","Link","Data","Link","Select","Select","Check","Check","Check","Check","Data","Data","","Data","Link","","Data","Link","","Data","Link","Link","","Data","Link","Link","Float","Float","Link","Float","Int","Select","Int","Int","Data","","Data","Link","Link","Select","Data","Select","Select","Select","Data","Data","Link","Data","Data","Int","Select","Int","Int","Data","","Data","Link","Data","Link","Link","Data","Link","Data","","Data","Link","Data","Link","Link","Data","Link","Data"
"Info:","","Valid Medical Code","","Valid Generic Main Category","","","0 or 1","0 or 1","0 or 1","0 or 1","","","","","Valid Drug Formula","","","Valid Drug Route","","","Valid Drug Formula","Valid UOM","","","Valid Drug Route","Valid Drug Formula","","","Valid UOM","","Integer","One of: Hours, Days, Weeks","Integer","Integer","","","","Valid Drug Route","Valid Drug Formula","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","One of: Days, Weeks, Months, Years","One of: Or, And","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","","Valid UOM","","","Integer","One of: Day, Week, Month, Year","Integer","Integer","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name",""
"Start entering data below this line"
"","""ATC J01AA04 - lymecycline""","ATC J01AA04","lymecycline","UploadData","UploadData","",0,0,0,0,"GEN343053","lymecycline","","""c189541c24""","UploadData","","""c593183aa9""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC V03AE02 - sevelamer""","ATC V03AE02","sevelamer","UploadData","UploadData","",0,0,0,0,"GEN331416","Sevelamer","","""7d01023d76""","UploadData","","""e96dda1a08""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A10BK03 - empagliflozin""","ATC A10BK03","empagliflozin","UploadData","UploadData","",0,0,0,0,"GEN331122","Empagliflozin","","""1ced647376""","UploadData","","""5b6b14f36f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G03CX01 - tibolone""","ATC G03CX01","tibolone","UploadData","UploadData","",0,0,0,0,"GEN327552","Tibolone","","""330419aa2a""","UploadData","","""41fe4afb6e""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L04AC07 - tocilizumab""","ATC L04AC07","tocilizumab","UploadData","UploadData","",0,0,0,0,"GEN321355","Tocilizumab","","""8ace8e88f6""","UploadData","","""2df2d4100f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A12A - CALCIUM""","ATC A12A","CALCIUM","UploadData","UploadData","",0,0,0,0,"GEN319964","Calcium","","""6d20f2ba1e""","UploadData","","""4072cbe306""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J02AX05 - micafungin""","ATC J02AX05","micafungin","UploadData","UploadData","",0,0,0,0,"GEN319645","Micafungin","","""5bc58a3f02""","UploadData","","""bb701f2526""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L04AB01 - etanercept""","ATC L04AB01","etanercept","UploadData","UploadData","",0,0,0,0,"GEN318863","Etanercept","","""055e03bfb7""","UploadData","","""1655886ff9""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D11AX18 - diclofenac""","ATC D11AX18","diclofenac","UploadData","UploadData","",0,0,0,0,"GEN317233","Diclofenac","","""d15b409ae0""","UploadData","","""d230d7a911""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC V08 - CONTRAST MEDIA""","ATC V08","CONTRAST MEDIA","UploadData","UploadData","",0,0,0,0,"GEN317129","CONTRAST MEDIA","","""a850257da5""","UploadData","","""68f03f9009""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M03CA01 - dantrolene""","ATC M03CA01","dantrolene","UploadData","UploadData","",0,0,0,0,"GEN314329","Dantrolene","","""739fd6364a""","UploadData","","""70fb98b59f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M03BX02 - tizanidine""","ATC M03BX02","tizanidine","UploadData","UploadData","",0,0,0,0,"GEN312677","Tizanidine","","""4315142359""","UploadData","","""e26fe48509""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC S01BC10 - nepafenac""","ATC S01BC10","nepafenac","UploadData","UploadData","",0,0,0,0,"GEN306533","Nepafenac","","""6ac72aef2f""","UploadData","","""2f7ad2b4cb""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C01DA14 - isosorbide mononitrate""","ATC C01DA14","isosorbide mononitrate","UploadData","UploadData","",0,0,0,0,"GEN303706","Isosorbide Mononitrate","","""1d7f813465""","UploadData","","""70124471b1""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC S01XA26 - riboflavin""","ATC S01XA26","riboflavin","UploadData","UploadData","",0,0,0,0,"GEN302604","Riboflavin","","""e98c4f5d6b""","UploadData","","""75a3f02e02""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05BA09 - clobazam""","ATC N05BA09","clobazam","UploadData","UploadData","",0,0,0,0,"GEN301524","Clobazam","","""697d6fe47b""","UploadData","","""e7ab467a74""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05AH02 - clozapine""","ATC N05AH02","clozapine","UploadData","UploadData","",0,0,0,0,"GEN300908","Clozapine","","""cb746ec2e2""","UploadData","","""a68adb226d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
